listing_id,description,room_type
69894,"Nice renovated apt, prime location!",Entire home/apt
69921,Brooklyn Writer's Nook,Private room
70095,Private Bedroom in Large NYC Apartment,Private room
70128,"Large, Sunny Room East Village NYC",private room
70609,Great Large 3 BR/2 Bath Duplex with Private Patio!,ENTIRE HOME/APT
71010,All That Jazz. Uptown style on Sugar Hill.,entire home/apt
71248,Bright and lovely 1 bdrm apt in LES,Entire home/apt
71366,Beautiful One Bed West Village - 4 Month Special,Entire home/apt
71812,Condo Apartment with laundry in unit,entire home/apt
72190,1BR: See Central Park from Terrace!,entire home/apt
72265,Private room in cozy Greenpoint,Private room
74073,Food & Music Dream Apartment in Williamsburg,Entire home/apt
74240,French Garden cottage off Bedford,ENTIRE HOME/APT
74680,One Bedroom Mini studio - Free WIFI,Entire home/apt
75193,BROOKLYN > Guest Room w/ King Bed in Williamsburg,Private room
75635,Bright Cozy Chinatown Studio Apt.,Entire home/apt
76761,Eveland the Place to Stay & Enjoy a 5-⭐️ 2bdrm,Entire home/apt
77765,Superior @ Box House,private room
77936,Hells Kitchen Garden of Eden,private room
79067,Lovely 3 bedroom in Italianate Brownstone w/garden,Entire home/apt
79782,"Williamsburg HUGE, PRIVATE BATH - Next to Train!",PRIVATE ROOM
80493,Cozy room in East Village with AC,PRIVATE ROOM
80700,Loft w/ Terrace @ Box House Hotel,Private room
82550,Columbia Castle 2 BR,Entire home/apt
82638,"Charming Artist's Flat, East Village",Entire home/apt
82928,BEAUTIFUL 2 BEDROOM APARTMENT,Entire home/apt
83243,Brooklyn Cove Studio Apt w/ Garden!!,Entire home/apt
83847,East Village Designer's 1-BR APT,Entire home/apt
84010,Superior @ Box House,Private room
84659,Large Studio--Heart of East Village,entire home/apt
84905,Huge.Bright.Clean.Safe. Private Room,PRIVATE ROOM
85094,Garden 1BR/1BA Brownstone Apt - 2 blocks to subway,Entire home/apt
86215,MODERN SPACIOUS 2 BR APT DOWNTOWN MANHATTAN,Entire home/apt
89621,"WONDERFUL, COMFORTABLE STUDIO",entire home/apt
93313,MAISON DES SIRENES 2,Entire home/apt
94035,"Modern, Safe, Clean, Bright Room in Astoria for 2",Private room
94477,The Vernon On Greene,Entire home/apt
94783,"Beautiful, Bright’s, Warm & Spacious 1.5BR Apt",Entire home/apt
96471,"The Brooklyn Waverly, One Bedroom",private room
99070,Comfortable Cozy Space in El Barrio,Shared room
99085,Sunny Bklyn Jewel  Fort Greene JULY  - AUG 2019,Entire home/apt
100002,"MANHATTAN Neat, Nice, Bright ROOM",Private room
100184,Bienvenue,private room
100186,Large Brand New Park Slope 1BR,Entire home/apt
101053,Colorful Artistic Williamsburg Apt,Private room
103161,Artsy TopFloor Apt in PRIME BEDFORD Williamsburg,Entire home/apt
103806,BOHEMIAN EAST VILLAGE 2 BED HAVEN,Entire home/apt
105510,Private 1-Bedroom Apt in Townhouse,entire home/apt
106363,Bright Room With A Great River View,PRIVATE ROOM
106647,Tree lined block modern apartment,Entire home/apt
107630,Sweet Historic Greenpoint Duplex,ENTIRE HOME/APT
107895,Riverside Charm with Fire Place,Entire home/apt
110739,"Very Central, Nomad/Chelsea Loft Studio",entire home/apt
112435,ALL ABOUT A VERY COMFORTABLE ROOM..,Private room
113265,Brooklyn- Crown Heights Garden Apt.,Private room
113945,Cozy room in Time Square!,private room
114123,Large Park Slope Townhouse Duplex,Entire home/apt
114229,Lower East Side 2 Bedroom Apt,Entire home/apt
115535,Sun-Drenched Hamilton Hts Jewel,Private room
115678,Your Stunning Vacation Apartment!,Entire home/apt
115748,1 BDRM Apt-Weekend Sublease,Entire home/apt
116940,ROOM WITH A  KITCHENETTE,entire home/apt
118061,Style in Stuyvesant Heights,Entire home/apt
118430,Heart of Meatpacking & Chelsea,Private room
120362,Williamsburg apartment right by the subway,entire home/apt
121687,Spacious Brooklyn Loft - 2 Bedroom,Entire home/apt
123784,NYC Studio for Rent in Townhouse,Entire home/apt
125053,⚡Quiet Gem w/roof deck on NY's Hottest Street⚡,Entire home/apt
125163,Authentic New York City Living,Private room
125594,SUPER BIG AND COZY PRIVATE BEDROOM,private room
126443,☆Massive DUPLEX☆ 2BR & 2BTH East Village 9+ Guests,entire home/apt
128975,City Room - Street View Apt,ENTIRE HOME/APT
131154,Cozy and Bright One Bedroom in BK,Entire home/apt
132516,Forest Hills Apt minutes to midtown Manhattan,Entire home/apt
133025,Midtown cozy convenient,PRIVATE ROOM
134934,Prime Williamsburg Apartment,entire home/apt
135393,"Private, spacious room in Brooklyn",Private room
135465,Garden apartment close to Manhattan,Entire home/apt
136493,Stunning arty 3200sf 3FLR+3BR townhome w/terrace,Entire home/apt
139624,"Spacious,Sunny, private one bedroom",Entire home/apt
140133,Truly Amazing Oasis In The City,entire home/apt
140973,"East Village, King-Sized, Charmer",ENTIRE HOME/APT
141154,Affordable Furnished Apartment,Entire home/apt
141984,Charming Nolita Apartment!!,entire home/apt
144087,LUXURY OF THE HORIZON,entire home/apt
146754,Three-bedroom house in a quiet neighborhood,entire home/apt
147586,Beautiful Duplex w/Private Garden,entire home/apt
148259,Garage Designer Loft,entire home/apt
148825,Best City Area Columbia U Upper West Side C Park,Entire home/apt
149777,Artsy 1 bedroom Apt. 20 min to 42nd Grand Central!,ENTIRE HOME/APT
150804,Lower East Side 2 Bed Apt.,Entire home/apt
151199,Astoria-Private Home NYC-,Entire home/apt
152078,CHARMING PRIVATE BEDROOM EAST VILLAGE,Private room
152259,City Room - Semi Private Bedroom,Private room
152263,Cozy apartment in a brownstone,ENTIRE HOME/APT
153405,Greenpoint Spacious Loft,entire home/apt
153780,Private E. Village Townhouse Stay,Private room
155296,Incredible Prime Williamsburg Loft!,Entire home/apt
157673,Large  Loft Style  Studio  Space,entire home/apt
158176,Entire Apt in Heart of Williamsburg,ENTIRE HOME/APT
158290,Clinton Hill + Free Coffee = #smile,Private room
158955,PRIVATE and SUNNY Williamsburg Apt!,ENTIRE HOME/APT
159749,Purple Room for 2/3 in brownstone $1450 per month,private room
159815,Red Room for two in Brownstone for $1355/mo,PRIVATE ROOM
159913,"Chelsea living, 2BR best location",Private room
160609,LOCATION LOCATION LOCATION UWS 60's,Entire home/apt
160994,In the heart of East Village,ENTIRE HOME/APT
161366,Sunny 15min to Manhattan LADY only,Private room
161996,Manhattan Penthouse-Max.12 guests,ENTIRE HOME/APT
162508,Beautiful Brooklyn Oasis,entire home/apt
163809,Cool & Spacious Harlem Artist Flat,Entire home/apt
163814,☆ STUDIO East Village ☆ Own bath! ☆ Sleeps 4 ☆,Entire home/apt
163836,Greenpoint Loft / Le Chez Andrea,PRIVATE ROOM
164989,"*SoHo: Clean, Safe, Private, Peaceful Bedroom (A)*",private room
165461,Couldn't Be Closer To Columbia Uni2,Private room
165824,Lady only Curtain-divided room,private room
166172,LG Private Room/Family Friendly,private room
166541,Spacious Quiet rm - 20mins to Midtown,private room
167482,Charming upper west side apartment,ENTIRE HOME/APT
168084,Light-filled East Village Delight,ENTIRE HOME/APT
168123,"Sunny, quiet, legal homelike suite-Pk Slope South",Entire home/apt
169002,Modern Space in Charming Pre-war,Private room
169306,Affordable & Cozy,PRIVATE ROOM
169464,Creative Vintage Loft in S. Williamsburg,ENTIRE HOME/APT
170761,"Fort Greene, Brooklyn: Front Bedroom",Private room
173072,Cozy Pre-War Harlem Apartment,Shared room
173151,spacious studio,Private room
173742,"Elegant 2-BR duplex, Union Square",Entire home/apt
176653,East Village bedroom w rooftop,private room
176962,Williamsburg Home Away From Home!,entire home/apt
177421,Brand New Beautiful Duplex Apartment with Garden,Entire home/apt
177495,"PRIME, Luxury, Spacious 2 Bedroom Apt in Chelsea",entire home/apt
177606,SPACIOUS ALCOVE STUDIO/ JUNIOR ONE,Entire home/apt
179670,High-end doorman bldg in the LES,Private room
179741,Spring & Mulberry 2 Bedroom Apartment,Entire home/apt
180792,Modern Garden Apartment in NYC,Entire home/apt
181972,Gorgeous Entire Manhattan Townhouse,ENTIRE HOME/APT
182069,Cozy studio Apartment in Upper East,entire home/apt
182095,Historic classic central cozy Village clean NYU,Entire home/apt
182177,A PRIVATE FLAT / APARTMENT- $SPECIAL$,ENTIRE HOME/APT
182649,Williamsburg bedroom by Bedford Ave,Private room
185266,Clean and bright with a comfortable atmosphere,Private room
187566,Historic Brooklyn Studio Apartment,entire home/apt
189135,Hell's Kitchen Funky 80's Hideaway!,Private room
189732,Family & Friends in New York City,ENTIRE HOME/APT
